,count,unique,top,freq,mean,std,min,25%,50%,75%,max
case,5133.0,,,,2567.52347555036,1482.345917858309,1.0,1284.0,2568.0,3851.0,5134.0
Year,5133.0,,,,2014.0,0.0,2014.0,2014.0,2014.0,2014.0,2014.0
SampQtr,5133.0,,,,2.488992791739723,1.1185243254170718,1.0,2.0,2.0,4.0,4.0
SurvYr,5133.0,,,,2014.0,0.0,2014.0,2014.0,2014.0,2014.0,2014.0
GFFMU,4981.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NimpDry,208.0,,,,0.8653846153846154,0.5907122092510918,0.0,0.75,1.0,1.0,2.0
DVHsize,5133.0,,,,2.3676212741087084,1.2511334421451485,1.0,1.0,2.0,3.0,9.0
DVCsize,5133.0,,,,2.359438924605494,1.2446170286295382,1.0,1.0,2.0,3.0,9.0
NumAdult,5133.0,,,,1.9039548022598871,0.8146229944300571,1.0,1.0,2.0,2.0,8.0
NumChild,5133.0,,,,0.46113383985973116,0.8882949110497168,0.0,0.0,0.0,1.0,7.0
NumCivPtr,5133.0,,,,0.0035067212156633548,0.08368099874801199,0.0,0.0,0.0,0.0,2.0
NumCPart,5133.0,,,,0.23378141437755698,0.6438543183299243,0.0,0.0,0.0,0.0,4.0
NumMPart,5133.0,,,,1.0099357101110462,1.0095503886841621,0.0,0.0,2.0,2.0,4.0
NumHHldr,5133.0,,,,1.5447106954997079,0.5422501715221199,1.0,1.0,2.0,2.0,6.0
NumCh18,5133.0,,,,0.5462692382622248,0.9675423317157105,0.0,0.0,0.0,1.0,7.0
HiHNum,2720.0,,,,1.5779411764705882,1.905787286731841,1.0,1.0,1.0,2.0,17.0
JntEldA,38.0,,,,1.4736842105263157,0.6872130204089778,1.0,1.0,1.0,2.0,4.0
DVHRPNum,5133.0,,,,1.2320280537697252,0.4503083268564256,1.0,1.0,1.0,1.0,5.0
HRPPart,5133.0,,,,7.570621468926554,7.4684273052744405,1.0,2.0,2.0,17.0,17.0
NumDepCh,5133.0,,,,0.5425676992012468,0.9636767242508936,0.0,0.0,0.0,1.0,7.0
