case,hh_size,n_adult,n_child,age,sex_code,emp_code,eth_code,mar_code,tenure_code,region_code,educ_code,lone_parent,disp_income_week,eq_scale,eq_income_week,eq_income_week_winz,log_eq_income
1,4.0,2.0,2.0,34.0,2.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,814.29,2.1,203.5725,203.5725,5.32092243588173
2,4.0,2.0,2.0,38.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,706.82,2.1,176.705,176.705,5.180124872074832
3,2.0,2.0,0.0,54.0,1.0,7.0,1.0,6.0,3.0,12.0,8.0,2.0,271.9,1.5,135.95,135.95,4.919615895709087
4,2.0,2.0,0.0,64.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,2.0,663.42,1.5,331.71,331.71,5.807271239681231
5,3.0,3.0,0.0,64.0,1.0,7.0,1.0,1.0,7.0,4.0,2.0,2.0,438.42,2.0,146.14000000000001,146.14000000000001,4.9913845145041185
6,4.0,3.0,1.0,70.0,1.0,1.0,1.0,1.0,7.0,10.0,,2.0,266.53,2.3,66.6325,66.6325,4.2140886367471895
7,1.0,1.0,0.0,53.0,2.0,2.0,1.0,4.0,7.0,7.0,5.0,2.0,606.7806,1.0,606.7806,606.7806,6.409813961579081
8,3.0,3.0,0.0,64.0,1.0,7.0,1.0,1.0,7.0,6.0,,2.0,399.9,2.0,133.29999999999998,133.29999999999998,4.900076103529192
9,1.0,1.0,0.0,79.0,1.0,6.0,1.0,8.0,1.0,7.0,,2.0,88.142,1.0,88.142,88.142,4.490230603883271
10,2.0,2.0,0.0,72.0,1.0,1.0,1.0,1.0,5.0,2.0,,2.0,935.58,1.5,467.79,467.79,6.1501549069772725
11,1.0,1.0,0.0,57.0,1.0,7.0,1.0,6.0,2.0,2.0,,2.0,108.05,1.0,108.05,108.05,4.691806492647638
12,3.0,3.0,0.0,56.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,1630.56,2.0,543.52,543.52,6.2999046726442725
13,2.0,2.0,0.0,50.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,782.0212,1.5,391.0106,391.0106,5.971288880241193
14,3.0,1.0,2.0,42.0,2.0,3.0,1.0,6.0,5.0,8.0,7.0,1.0,292.36,1.6,97.45333333333333,97.45333333333333,4.589582662646378
15,1.0,1.0,0.0,32.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,557.8,1.0,557.8,557.8,6.325791627382807
16,2.0,1.0,1.0,30.0,2.0,4.0,1.0,4.0,1.0,11.0,2.0,1.0,170.0,1.3,85.0,85.0,4.454347296253507
17,2.0,2.0,0.0,23.0,2.0,2.0,1.0,4.0,5.0,3.0,1.0,2.0,817.68,1.5,408.84,408.84,6.015766839630947
18,2.0,2.0,0.0,69.0,1.0,6.0,1.0,5.0,1.0,7.0,,2.0,756.4172,1.5,378.2086,378.2086,5.938086449448589
19,4.0,2.0,2.0,37.0,2.0,3.0,1.0,7.0,3.0,6.0,7.0,1.0,457.04,2.1,114.26,114.26,4.747190446008521
20,1.0,1.0,0.0,59.0,2.0,2.0,1.0,6.0,5.0,1.0,1.0,2.0,751.55,1.0,751.55,751.55,6.623467439598372
21,1.0,1.0,0.0,40.0,1.0,2.0,1.0,4.0,3.0,8.0,4.0,2.0,565.43,1.0,565.43,565.43,6.339353507078551
22,1.0,1.0,0.0,80.0,2.0,6.0,1.0,5.0,2.0,2.0,,2.0,149.042,1.0,149.042,149.042,5.010915254903572
23,1.0,1.0,0.0,78.0,2.0,6.0,1.0,4.0,7.0,7.0,,2.0,450.87,1.0,450.87,450.87,6.113394527844896
24,2.0,2.0,0.0,34.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,451.838,1.5,225.919,225.919,5.424593125609242
25,2.0,2.0,0.0,79.0,1.0,6.0,1.0,1.0,7.0,6.0,,2.0,484.264,1.5,242.132,242.132,5.493604505732015
26,2.0,1.0,1.0,35.0,2.0,3.0,1.0,4.0,2.0,8.0,3.0,1.0,186.24,1.3,93.12,93.12,4.544570563859162
27,3.0,3.0,0.0,63.0,2.0,6.0,1.0,1.0,7.0,8.0,1.0,2.0,748.636,2.0,249.54533333333333,249.54533333333333,5.523639875542125
28,2.0,2.0,0.0,76.0,1.0,6.0,1.0,1.0,7.0,9.0,,2.0,617.904,1.5,308.952,308.952,5.736417446780764
29,2.0,2.0,0.0,63.0,2.0,6.0,1.0,1.0,7.0,10.0,5.0,2.0,297.004,1.5,148.502,148.502,5.007309770667679
30,1.0,1.0,0.0,80.0,2.0,6.0,1.0,5.0,2.0,5.0,,2.0,246.85,1.0,246.85,246.85,5.512823724466583
31,1.0,1.0,0.0,66.0,1.0,2.0,1.0,4.0,8.0,9.0,,2.0,309.03,1.0,309.03,309.03,5.73666906699042
32,1.0,1.0,0.0,73.0,2.0,3.0,1.0,4.0,7.0,5.0,,2.0,469.212,1.0,469.212,469.212,6.153183656835183
33,6.0,4.0,2.0,47.0,1.0,1.0,1.0,1.0,5.0,8.0,1.0,2.0,1630.56,3.3,271.76,271.76,5.608592287652452
34,3.0,2.0,1.0,39.0,1.0,2.0,1.0,3.0,7.0,11.0,1.0,2.0,1248.56,1.8,416.18666666666667,416.18666666666667,6.033533763523553
35,4.0,1.0,3.0,32.0,2.0,3.0,1.0,4.0,1.0,6.0,5.0,1.0,423.32,2.1,105.83,105.83,4.671238785957796
36,3.0,2.0,1.0,36.0,1.0,3.0,1.0,3.0,3.0,5.0,6.0,2.0,583.81,1.8,194.60333333333332,194.60333333333332,5.27608879903697
37,2.0,2.0,0.0,63.0,1.0,2.0,1.0,1.0,5.0,8.0,,2.0,1125.3,1.5,562.65,562.65,6.3344334914905405
38,2.0,2.0,0.0,64.0,1.0,7.0,1.0,1.0,7.0,11.0,,2.0,398.282,1.5,199.141,199.141,5.299022118152275
39,3.0,3.0,0.0,67.0,1.0,2.0,1.0,1.0,7.0,6.0,7.0,2.0,768.756,2.0,256.252,256.252,5.550056149222324
40,4.0,3.0,1.0,40.0,2.0,3.0,1.0,1.0,5.0,4.0,2.0,2.0,754.97,2.3,188.7425,188.7425,5.2456678898028795
41,2.0,2.0,0.0,70.0,1.0,6.0,1.0,3.0,2.0,8.0,,2.0,378.764,1.5,189.382,189.382,5.249032580073158
42,5.0,2.0,3.0,27.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,2.0,452.1,2.4,90.42,90.42,4.515464272903598
