age_ml,sex_code_ml,emp_code_ml,eth_code_ml,mar_code_ml,tenure_code_ml,region_code_ml,educ_code_ml,lone_parent_ml,eq_income_week_winz_ml,log_eq_income_ml,age_was_missing,sex_code_was_missing,emp_code_was_missing,eth_code_was_missing,mar_code_was_missing,tenure_code_was_missing,region_code_was_missing,educ_code_was_missing,lone_parent_was_missing
34.0,2.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,203.5725,5.32092243588173,0,0,0,0,0,0,0,0,0
38.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,176.705,5.180124872074832,0,0,0,0,0,0,0,0,0
54.0,1.0,7.0,1.0,6.0,3.0,12.0,8.0,2.0,135.95,4.919615895709087,0,0,0,0,0,0,0,0,0
64.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,2.0,331.71,5.807271239681231,0,0,0,0,0,0,0,0,0
64.0,1.0,7.0,1.0,1.0,7.0,4.0,2.0,2.0,146.14,4.991384514504119,0,0,0,0,0,0,0,0,0
70.0,1.0,1.0,1.0,1.0,7.0,10.0,1.0,2.0,66.6325,4.2140886367471895,0,0,0,0,0,0,0,1,0
53.0,2.0,2.0,1.0,4.0,7.0,7.0,5.0,2.0,606.7806,6.409813961579081,0,0,0,0,0,0,0,0,0
64.0,1.0,7.0,1.0,1.0,7.0,6.0,1.0,2.0,133.29999999999998,4.900076103529192,0,0,0,0,0,0,0,1,0
79.0,1.0,6.0,1.0,8.0,1.0,7.0,1.0,2.0,88.142,4.490230603883271,0,0,0,0,0,0,0,1,0
72.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,467.79,6.1501549069772725,0,0,0,0,0,0,0,1,0
57.0,1.0,7.0,1.0,6.0,2.0,2.0,1.0,2.0,108.05,4.691806492647638,0,0,0,0,0,0,0,1,0
56.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,543.52,6.2999046726442725,0,0,0,0,0,0,0,0,0
50.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,391.0106,5.971288880241193,0,0,0,0,0,0,0,0,0
42.0,2.0,3.0,1.0,6.0,5.0,8.0,7.0,1.0,97.45333333333332,4.589582662646378,0,0,0,0,0,0,0,0,0
32.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,557.8,6.325791627382807,0,0,0,0,0,0,0,0,0
30.0,2.0,4.0,1.0,4.0,1.0,11.0,2.0,1.0,85.0,4.454347296253507,0,0,0,0,0,0,0,0,0
23.0,2.0,2.0,1.0,4.0,5.0,3.0,1.0,2.0,408.84,6.015766839630947,0,0,0,0,0,0,0,0,0
69.0,1.0,6.0,1.0,5.0,1.0,7.0,1.0,2.0,378.2086,5.938086449448589,0,0,0,0,0,0,0,1,0
37.0,2.0,3.0,1.0,7.0,3.0,6.0,7.0,1.0,114.26,4.747190446008521,0,0,0,0,0,0,0,0,0
59.0,2.0,2.0,1.0,6.0,5.0,1.0,1.0,2.0,751.55,6.623467439598372,0,0,0,0,0,0,0,0,0
40.0,1.0,2.0,1.0,4.0,3.0,8.0,4.0,2.0,565.43,6.339353507078551,0,0,0,0,0,0,0,0,0
80.0,2.0,6.0,1.0,5.0,2.0,2.0,1.0,2.0,149.042,5.010915254903572,0,0,0,0,0,0,0,1,0
78.0,2.0,6.0,1.0,4.0,7.0,7.0,1.0,2.0,450.87,6.113394527844896,0,0,0,0,0,0,0,1,0
34.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,225.919,5.424593125609242,0,0,0,0,0,0,0,0,0
79.0,1.0,6.0,1.0,1.0,7.0,6.0,1.0,2.0,242.132,5.493604505732015,0,0,0,0,0,0,0,1,0
35.0,2.0,3.0,1.0,4.0,2.0,8.0,3.0,1.0,93.12,4.544570563859162,0,0,0,0,0,0,0,0,0
63.0,2.0,6.0,1.0,1.0,7.0,8.0,1.0,2.0,249.54533333333333,5.523639875542125,0,0,0,0,0,0,0,0,0
76.0,1.0,6.0,1.0,1.0,7.0,9.0,1.0,2.0,308.952,5.736417446780764,0,0,0,0,0,0,0,1,0
63.0,2.0,6.0,1.0,1.0,7.0,10.0,5.0,2.0,148.502,5.007309770667679,0,0,0,0,0,0,0,0,0
80.0,2.0,6.0,1.0,5.0,2.0,5.0,1.0,2.0,246.85,5.512823724466583,0,0,0,0,0,0,0,1,0
66.0,1.0,2.0,1.0,4.0,8.0,9.0,1.0,2.0,309.03,5.73666906699042,0,0,0,0,0,0,0,1,0
73.0,2.0,3.0,1.0,4.0,7.0,5.0,1.0,2.0,469.212,6.153183656835183,0,0,0,0,0,0,0,1,0
47.0,1.0,1.0,1.0,1.0,5.0,8.0,1.0,2.0,271.76,5.608592287652452,0,0,0,0,0,0,0,0,0
39.0,1.0,2.0,1.0,3.0,7.0,11.0,1.0,2.0,416.18666666666667,6.033533763523553,0,0,0,0,0,0,0,0,0
32.0,2.0,3.0,1.0,4.0,1.0,6.0,5.0,1.0,105.83,4.671238785957796,0,0,0,0,0,0,0,0,0
36.0,1.0,3.0,1.0,3.0,3.0,5.0,6.0,2.0,194.60333333333327,5.27608879903697,0,0,0,0,0,0,0,0,0
63.0,1.0,2.0,1.0,1.0,5.0,8.0,1.0,2.0,562.65,6.3344334914905405,0,0,0,0,0,0,0,1,0
64.0,1.0,7.0,1.0,1.0,7.0,11.0,1.0,2.0,199.141,5.299022118152275,0,0,0,0,0,0,0,1,0
67.0,1.0,2.0,1.0,1.0,7.0,6.0,7.0,2.0,256.252,5.550056149222324,0,0,0,0,0,0,0,0,0
40.0,2.0,3.0,1.0,1.0,5.0,4.0,2.0,2.0,188.7425,5.24566788980288,0,0,0,0,0,0,0,0,0
70.0,1.0,6.0,1.0,3.0,2.0,8.0,1.0,2.0,189.382,5.249032580073158,0,0,0,0,0,0,0,1,0
27.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,2.0,90.42,4.515464272903598,0,0,0,0,0,0,0,0,0
72.0,1.0,6.0,1.0,1.0,7.0,6.0,1.0,2.0,192.452,5.265029419681862,0,0,0,0,0,0,0,1,0
45.0,2.0,7.0,1.0,6.0,7.0,12.0,7.0,1.0,71.21666666666667,4.279670859517808,0,0,0,0,0,0,0,0,0
52.0,1.0,2.0,1.0,3.0,7.0,8.0,2.0,2.0,260.2059,5.5653089852023,0,0,0,0,0,0,0,0,0
27.0,1.0,2.0,1.0,3.0,5.0,8.0,4.0,2.0,186.06515,5.231456951900815,0,0,0,0,0,0,0,0,0
49.0,1.0,2.0,1.0,1.0,5.0,8.0,1.0,2.0,144.11,4.977492075503001,0,0,0,0,0,0,0,1,0
67.0,1.0,6.0,10.0,1.0,7.0,7.0,7.0,2.0,150.77733333333333,5.022414534532542,0,0,0,0,0,0,0,0,0
50.0,2.0,2.0,1.0,6.0,5.0,2.0,5.0,2.0,318.25,5.765974494912649,0,0,0,0,0,0,0,0,0
80.0,1.0,6.0,1.0,6.0,2.0,2.0,1.0,2.0,263.69,5.578559329902123,0,0,0,0,0,0,0,1,0
