,count,mean,std,min,25%,50%,75%,max
case,12111.0,2581.028651639006,1473.867654565942,1.0,1310.5,2585.0,3856.5,5134.0
Person,12111.0,2.0079266782264056,1.1578632559498574,1.0,1.0,2.0,3.0,9.0
A002,12111.0,1.0475600693584344,1.4059154664952644,0.0,0.0,1.0,2.0,9.0
A003,12111.0,1.5761704235818677,0.49418441048307277,1.0,1.0,2.0,2.0,2.0
A0031,12111.0,1.7392453141771942,0.4390644567789448,1.0,1.0,2.0,2.0,2.0
A004,12111.0,1.5165551977541079,0.49974648262000754,1.0,1.0,2.0,2.0,2.0
A007,12111.0,0.979853026174552,1.9885527923490374,0.0,0.0,0.0,0.0,9.0
A010,12111.0,16.295351333498473,20.856757600244997,0.0,0.0,16.0,18.0,97.0
A015,12111.0,1.3452233506729419,1.1148580344143182,0.0,1.0,1.0,2.0,4.0
A200,12111.0,2.567665758401453,2.553285118761092,0.0,1.0,1.0,6.0,8.0
A201,12111.0,3.5971430930558994,3.1774840234569406,0.0,0.0,4.0,7.0,7.0
A204,12111.0,0.0019816695566014365,0.04447365351751352,0.0,0.0,0.0,0.0,1.0
A206,12111.0,3.139047147221534,2.458941864969545,0.0,1.0,2.0,6.0,7.0
A207,12111.0,0.1324415820328627,0.7847411278181688,0.0,0.0,0.0,0.0,6.0
A208,12111.0,194.1583684253984,457.37932534637736,0.0,0.0,0.0,86.0,3687.0
A2111,12111.0,0.011146891255883081,0.10499308682383035,0.0,0.0,0.0,0.0,1.0
A2112,12111.0,0.0005779869540087524,0.02403540275460058,0.0,0.0,0.0,0.0,1.0
A220,12111.0,13.334654446371067,17.97809623694016,0.0,0.0,0.0,35.0,97.0
A221,12111.0,2.106597308232186,9.528008097452457,0.0,0.0,0.0,0.0,97.0
A227,12111.0,0.002394517380893403,0.048877202503019725,0.0,0.0,0.0,0.0,1.0
