,count,unique,top,freq,mean,std,min,25%,50%,75%,max
case,12111.0,,,,2581.028651639006,1473.867654565942,1.0,1310.5,2585.0,3856.5,5134.0
Person,12111.0,,,,2.0079266782264056,1.1578632559498574,1.0,1.0,2.0,3.0,9.0
Hallres2,12111.0,,,,2.0,0.0,2.0,2.0,2.0,2.0,2.0
Sex,12111.0,,,,1.5165551977541079,0.49974648262000754,1.0,1.0,2.0,2.0,2.0
Marchk,5202.0,,,,1.000384467512495,0.019605958039607043,1.0,1.0,1.0,1.0,2.0
LivWth12,3192.0,,,,1.6240601503759398,0.4844405032683193,1.0,1.0,2.0,2.0,2.0
DVMrDF12,12111.0,,,,2.241103129386508,1.2836383462562242,1.0,1.0,2.0,3.0,8.0
DVAge4,12111.0,,,,1.9873668565766658,0.8501744674038024,1.0,1.0,2.0,2.0,4.0
DVAge5,12111.0,,,,2.8072826356205103,1.2317770849792373,1.0,2.0,3.0,4.0,5.0
DVAge6,12111.0,,,,3.26001155973908,1.5043077038655706,1.0,2.0,3.0,4.0,6.0
DVAge9,12111.0,,,,4.199818346957311,2.3097188049448683,1.0,2.0,4.0,6.0,9.0
DVAge18,12111.0,,,,8.779704400957806,4.763405190883009,1.0,5.0,9.0,13.0,18.0
WorkAge,12111.0,,,,2.0355874824539675,0.6528639690644586,1.0,2.0,2.0,2.0,3.0
JDate,12111.0,,,,720252.1453224341,8661.356212548177,699041.0,713132.5,719776.0,727662.5,735542.0
Restme2,12111.0,,,,12.498307323920402,12.832432446171646,0.0,3.0,8.0,18.0,89.0
ResMth,1179.0,,,,5.088210347752333,2.9403847680022457,1.0,3.0,5.0,7.0,11.0
QHealth1,9738.0,,,,1.9609776134729924,0.9256632036287337,1.0,1.0,2.0,2.0,5.0
HealIll,9738.0,,,,1.6025878003696858,0.4893877170736356,1.0,1.0,2.0,2.0,2.0
RedAct,3870.0,,,,2.030232558139535,0.7871845703944408,1.0,1.0,2.0,3.0,3.0
Durredact,2611.0,,,,2.8812715434699347,0.41393087067708173,1.0,3.0,3.0,3.0,3.0
