case,hh_size,n_adult,n_child,age,sex_code,emp_code,eth_code,mar_code,region_code,tenure_code,lone_parent,educ_code,disp_income_week,eq_scale
1,4.0,2.0,2.0,34.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,814.29,2.1
2,4.0,2.0,2.0,38.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,706.82,2.1
3,2.0,2.0,0.0,54.0,1.0,7.0,1.0,6.0,12.0,3.0,2.0,8.0,271.9,1.5
4,2.0,2.0,0.0,64.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,663.42,1.5
5,3.0,3.0,0.0,64.0,1.0,7.0,1.0,1.0,4.0,7.0,2.0,2.0,438.42,2.0
6,4.0,3.0,1.0,70.0,1.0,1.0,1.0,1.0,10.0,7.0,2.0,,266.53,2.3
7,1.0,1.0,0.0,53.0,2.0,2.0,1.0,4.0,7.0,7.0,2.0,5.0,606.7806,1.0
8,3.0,3.0,0.0,64.0,1.0,7.0,1.0,1.0,6.0,7.0,2.0,,399.9,2.0
9,1.0,1.0,0.0,79.0,1.0,6.0,1.0,8.0,7.0,1.0,2.0,,88.142,1.0
10,2.0,2.0,0.0,72.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,,935.58,1.5
11,1.0,1.0,0.0,57.0,1.0,7.0,1.0,6.0,2.0,2.0,2.0,,108.05,1.0
12,3.0,3.0,0.0,56.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,1630.56,2.0
13,2.0,2.0,0.0,50.0,1.0,2.0,1.0,3.0,2.0,5.0,2.0,2.0,782.0212,1.5
14,3.0,1.0,2.0,42.0,2.0,3.0,1.0,6.0,8.0,5.0,1.0,7.0,292.36,1.6
15,1.0,1.0,0.0,32.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,1.0,557.8,1.0
16,2.0,1.0,1.0,30.0,2.0,4.0,1.0,4.0,11.0,1.0,1.0,2.0,170.0,1.3
17,2.0,2.0,0.0,23.0,2.0,2.0,1.0,4.0,3.0,5.0,2.0,1.0,817.68,1.5
18,2.0,2.0,0.0,69.0,1.0,6.0,1.0,5.0,7.0,1.0,2.0,,756.4172,1.5
19,4.0,2.0,2.0,37.0,2.0,3.0,1.0,7.0,6.0,3.0,1.0,7.0,457.04,2.1
20,1.0,1.0,0.0,59.0,2.0,2.0,1.0,6.0,1.0,5.0,2.0,1.0,751.55,1.0
21,1.0,1.0,0.0,40.0,1.0,2.0,1.0,4.0,8.0,3.0,2.0,4.0,565.43,1.0
22,1.0,1.0,0.0,80.0,2.0,6.0,1.0,5.0,2.0,2.0,2.0,,149.042,1.0
23,1.0,1.0,0.0,78.0,2.0,6.0,1.0,4.0,7.0,7.0,2.0,,450.87,1.0
24,2.0,2.0,0.0,34.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,451.838,1.5
25,2.0,2.0,0.0,79.0,1.0,6.0,1.0,1.0,6.0,7.0,2.0,,484.264,1.5
26,2.0,1.0,1.0,35.0,2.0,3.0,1.0,4.0,8.0,2.0,1.0,3.0,186.24,1.3
27,3.0,3.0,0.0,63.0,2.0,6.0,1.0,1.0,8.0,7.0,2.0,1.0,748.636,2.0
28,2.0,2.0,0.0,76.0,1.0,6.0,1.0,1.0,9.0,7.0,2.0,,617.904,1.5
29,2.0,2.0,0.0,63.0,2.0,6.0,1.0,1.0,10.0,7.0,2.0,5.0,297.004,1.5
30,1.0,1.0,0.0,80.0,2.0,6.0,1.0,5.0,5.0,2.0,2.0,,246.85,1.0
31,1.0,1.0,0.0,66.0,1.0,2.0,1.0,4.0,9.0,8.0,2.0,,309.03,1.0
32,1.0,1.0,0.0,73.0,2.0,3.0,1.0,4.0,5.0,7.0,2.0,,469.212,1.0
33,6.0,4.0,2.0,47.0,1.0,1.0,1.0,1.0,8.0,5.0,2.0,1.0,1630.56,3.3
34,3.0,2.0,1.0,39.0,1.0,2.0,1.0,3.0,11.0,7.0,2.0,1.0,1248.56,1.8
35,4.0,1.0,3.0,32.0,2.0,3.0,1.0,4.0,6.0,1.0,1.0,5.0,423.32,2.1
36,3.0,2.0,1.0,36.0,1.0,3.0,1.0,3.0,5.0,3.0,2.0,6.0,583.81,1.8
37,2.0,2.0,0.0,63.0,1.0,2.0,1.0,1.0,8.0,5.0,2.0,,1125.3,1.5
38,2.0,2.0,0.0,64.0,1.0,7.0,1.0,1.0,11.0,7.0,2.0,,398.282,1.5
39,3.0,3.0,0.0,67.0,1.0,2.0,1.0,1.0,6.0,7.0,2.0,7.0,768.756,2.0
40,4.0,3.0,1.0,40.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,2.0,754.97,2.3
41,2.0,2.0,0.0,70.0,1.0,6.0,1.0,3.0,8.0,2.0,2.0,,378.764,1.5
42,5.0,2.0,3.0,27.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,452.1,2.4
43,2.0,2.0,0.0,72.0,1.0,6.0,1.0,1.0,6.0,7.0,2.0,,384.904,1.5
44,3.0,2.0,1.0,45.0,2.0,7.0,1.0,6.0,12.0,7.0,1.0,7.0,213.65,1.8
45,4.0,4.0,0.0,52.0,1.0,2.0,1.0,3.0,8.0,7.0,2.0,2.0,1040.8236,2.5
46,4.0,2.0,2.0,27.0,1.0,2.0,1.0,3.0,8.0,5.0,2.0,4.0,744.2606,2.1
47,3.0,3.0,0.0,49.0,1.0,2.0,1.0,1.0,8.0,5.0,2.0,,432.33,2.0
48,3.0,3.0,0.0,67.0,1.0,6.0,10.0,1.0,7.0,7.0,2.0,7.0,452.332,2.0
49,2.0,2.0,0.0,50.0,2.0,2.0,1.0,6.0,2.0,5.0,2.0,5.0,636.5,1.5
50,1.0,1.0,0.0,80.0,1.0,6.0,1.0,6.0,2.0,2.0,2.0,,263.69,1.0
51,1.0,1.0,0.0,38.0,2.0,3.0,1.0,4.0,8.0,5.0,2.0,1.0,558.7636,1.0
52,1.0,1.0,0.0,61.0,2.0,7.0,1.0,6.0,9.0,1.0,2.0,7.0,184.52,1.0
53,2.0,2.0,0.0,60.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,5.0,634.07,1.5
54,2.0,2.0,0.0,66.0,1.0,6.0,1.0,1.0,8.0,7.0,2.0,1.0,550.072,1.5
55,6.0,5.0,1.0,46.0,2.0,3.0,1.0,1.0,3.0,5.0,2.0,4.0,1630.56,3.5
56,2.0,2.0,0.0,80.0,1.0,6.0,1.0,1.0,8.0,5.0,2.0,,405.83,1.5
57,2.0,2.0,0.0,64.0,1.0,2.0,1.0,1.0,6.0,7.0,2.0,2.0,630.82,1.5
58,2.0,2.0,0.0,29.0,2.0,2.0,10.0,1.0,7.0,4.0,2.0,1.0,541.0117846153846,1.5
59,2.0,2.0,0.0,61.0,1.0,2.0,1.0,1.0,8.0,7.0,2.0,5.0,861.9,1.5
