case,hh_size,n_adult,n_child,age,disp_income_week,eq_scale,sex_code,emp_code,eth_code,mar_code,tenure_code,educ_code,region_code,lone_parent,sex_cat,emp_cat,eth_cat,mar_cat,tenure_cat,educ_cat,region_cat
1,4.0,2.0,2.0,34.0,814.29,2.1,2.0,2.0,1.0,1.0,5.0,1.0,5.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,West Midlands
2,4.0,2.0,2.0,38.0,706.82,2.1,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,Male,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North East
3,2.0,2.0,0.0,54.0,271.9,1.5,1.0,7.0,1.0,6.0,3.0,8.0,12.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Divorced,Priv. rented (unfurn),No formal qualifications,Northern Ireland
4,2.0,2.0,0.0,64.0,663.42,1.5,1.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,O-Level or GCSE A-C,North West and Merseyside
5,3.0,3.0,0.0,64.0,438.42,2.0,1.0,7.0,1.0,1.0,7.0,2.0,4.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Higher education qualification below degree level,East Midlands
6,4.0,3.0,1.0,70.0,266.53,2.3,1.0,1.0,1.0,1.0,7.0,,10.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned outright,,Wales
7,1.0,1.0,0.0,53.0,606.7806,1.0,2.0,2.0,1.0,4.0,7.0,5.0,7.0,2.0,Female,Full-time employee,White,Single,Owned outright,O-Level or GCSE A-C,London
8,3.0,3.0,0.0,64.0,399.9,2.0,1.0,7.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
9,1.0,1.0,0.0,79.0,88.142,1.0,1.0,6.0,1.0,8.0,1.0,,7.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Civil Partner or Former Civil Partner,LA (furnished unfurnished),,London
10,2.0,2.0,0.0,72.0,935.58,1.5,1.0,1.0,1.0,1.0,5.0,,2.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,,North West and Merseyside
11,1.0,1.0,0.0,57.0,108.05,1.0,1.0,7.0,1.0,6.0,2.0,,2.0,2.0,Male,Retired/unoccupied but under minimum NI Pension age,White,Divorced,Hsng Assn (furnished unfrnish),,North West and Merseyside
12,3.0,3.0,0.0,56.0,1630.56,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,North West and Merseyside
13,2.0,2.0,0.0,50.0,782.0212,1.5,1.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,Male,Full-time employee,White,Cohabitee,Owned with mortgage,Higher education qualification below degree level,North West and Merseyside
14,3.0,1.0,2.0,42.0,292.36,1.6,2.0,3.0,1.0,6.0,5.0,7.0,8.0,1.0,Female,Part-time employee,White,Divorced,Owned with mortgage,"Other, including foreign qualification below degree level",South East
15,1.0,1.0,0.0,32.0,557.8,1.0,1.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,Male,Full-time employee,White,Single,Priv. rented (furnished),Degree or equivalent,Yorkshire and the Humber
16,2.0,1.0,1.0,30.0,170.0,1.3,2.0,4.0,1.0,4.0,1.0,2.0,11.0,1.0,Female,Unemployed,White,Single,LA (furnished unfurnished),Higher education qualification below degree level,Scotland
17,2.0,2.0,0.0,23.0,817.68,1.5,2.0,2.0,1.0,4.0,5.0,1.0,3.0,2.0,Female,Full-time employee,White,Single,Owned with mortgage,Degree or equivalent,Yorkshire and the Humber
18,2.0,2.0,0.0,69.0,756.4172,1.5,1.0,6.0,1.0,5.0,1.0,,7.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Widowed,LA (furnished unfurnished),,London
19,4.0,2.0,2.0,37.0,457.04,2.1,2.0,3.0,1.0,7.0,3.0,7.0,6.0,1.0,Female,Part-time employee,White,Separated,Priv. rented (unfurn),"Other, including foreign qualification below degree level",Eastern
20,1.0,1.0,0.0,59.0,751.55,1.0,2.0,2.0,1.0,6.0,5.0,1.0,1.0,2.0,Female,Full-time employee,White,Divorced,Owned with mortgage,Degree or equivalent,North East
21,1.0,1.0,0.0,40.0,565.43,1.0,1.0,2.0,1.0,4.0,3.0,4.0,8.0,2.0,Male,Full-time employee,White,Single,Priv. rented (unfurn),ONC National level/BTEC,South East
22,1.0,1.0,0.0,80.0,149.042,1.0,2.0,6.0,1.0,5.0,2.0,,2.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Hsng Assn (furnished unfrnish),,North West and Merseyside
23,1.0,1.0,0.0,78.0,450.87,1.0,2.0,6.0,1.0,4.0,7.0,,7.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Single,Owned outright,,London
24,2.0,2.0,0.0,34.0,451.838,1.5,2.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,Female,Full-time employee,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,North West and Merseyside
25,2.0,2.0,0.0,79.0,484.264,1.5,1.0,6.0,1.0,1.0,7.0,,6.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,Eastern
26,2.0,1.0,1.0,35.0,186.24,1.3,2.0,3.0,1.0,4.0,2.0,3.0,8.0,1.0,Female,Part-time employee,White,Single,Hsng Assn (furnished unfrnish),A-Levels/Highers,South East
27,3.0,3.0,0.0,63.0,748.636,2.0,2.0,6.0,1.0,1.0,7.0,1.0,8.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,Degree or equivalent,South East
28,2.0,2.0,0.0,76.0,617.904,1.5,1.0,6.0,1.0,1.0,7.0,,9.0,2.0,Male,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,,South West
29,2.0,2.0,0.0,63.0,297.004,1.5,2.0,6.0,1.0,1.0,7.0,5.0,10.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Married and living with your husband/wife,Owned outright,O-Level or GCSE A-C,Wales
30,1.0,1.0,0.0,80.0,246.85,1.0,2.0,6.0,1.0,5.0,2.0,,5.0,2.0,Female,Retired/unoccupied and of minimum NI Pension age,White,Widowed,Hsng Assn (furnished unfrnish),,West Midlands
31,1.0,1.0,0.0,66.0,309.03,1.0,1.0,2.0,1.0,4.0,8.0,,9.0,2.0,Male,Full-time employee,White,Single,Rent free,,South West
32,1.0,1.0,0.0,73.0,469.212,1.0,2.0,3.0,1.0,4.0,7.0,,5.0,2.0,Female,Part-time employee,White,Single,Owned outright,,West Midlands
33,6.0,4.0,2.0,47.0,1630.56,3.3,1.0,1.0,1.0,1.0,5.0,1.0,8.0,2.0,Male,Self-employed,White,Married and living with your husband/wife,Owned with mortgage,Degree or equivalent,South East
